scenario,fiscal_year,block,line_item,amount_usd,basis,source_key,notes
Pre-Cancellation Digital Gateway,2027,schools_transfer,57_23_pct_of_general_revenue,1034664432.11,committed,PWC-BUD-FY26-REV,"schools_transfer(split_base=1,807,905,700) = 57.23% applied to scenario Pre-Cancellation Digital Gateway eligible base"
Pre-Cancellation Digital Gateway,2027,public_safety,gf_personnel,327909641.28,committed,PWC-BUD-FY26-EXP+COMP,"FY26 base $315,297,732 grown 4.00%/yr"
Pre-Cancellation Digital Gateway,2027,public_safety,gf_nonpersonnel,108777717.54,committed,PWC-BUD-FY26-EXP+BLS-CPI,"FY26 base $105,099,244 grown 3.50%/yr"
Pre-Cancellation Digital Gateway,2027,public_safety,fire_levy_operating,99055281.74,committed,PWC-BUD-FY26-EXP,"Fire Levy is a special-revenue fund (not GF), but station operations are contractual once approved. Included in committed-expenditure envelope per CBA provisions."
Pre-Cancellation Digital Gateway,2027,general_government,gopi_megr_gf,151220797.78,committed,PWC-BUD-FY26-EXP,"Growth 3.50%/yr over FY26 $146,107,051"
Pre-Cancellation Digital Gateway,2027,general_government,non_departmental_gf,49767844.59,committed,PWC-BUD-FY26-EXP,"Admin & support, contingency, countywide insurance, unemployment; grown with operating inflation."
Pre-Cancellation Digital Gateway,2027,community_services,hwes_gf,303507149.8,committed,PWC-BUD-FY26-EXP,"Health, Wellbeing & Environmental Sustainability: includes Social Services, Community Services, Library, Parks & Rec, Public Health, Housing, Youth Services."
Pre-Cancellation Digital Gateway,2027,debt_service,total_principal_plus_interest,153192809.0,committed,PWC-BUD-FY26-DEBT,Grand total from FY26 Adopted CIP Debt Service schedule (existing + new CIP issuances + admin). Tranches itemized in debt_service_schedule.csv.
Pre-Cancellation Digital Gateway,2027,pension_opeb,vrs_employer_contribution,76017760.0,embedded,PWC-BUD-FY26-COMP,VRS 15.89% held flat (FY26 Adopted Five-Year Plan assumption). Covered payroll FY26 proxy $460M; grown 4.00%/yr. Already embedded in department personnel lines -- informational.
Pre-Cancellation Digital Gateway,2027,pension_opeb,supplemental_pension_police_fire_sheriff,6888960.0,embedded,PWC-BUD-FY26-COMP,1.44% held flat per Adopted Five-Year Plan. Already embedded in public_safety personnel -- informational.
Pre-Cancellation Digital Gateway,2027,pension_opeb,401a_money_purchase,2392000.0,embedded,PWC-BUD-FY26-COMP,0.50% held flat per Adopted Five-Year Plan. Embedded in personnel -- informational.
Pre-Cancellation Digital Gateway,2027,pension_opeb,health_dental_insurance_employer,57200000.0,embedded,PWC-BUD-FY26-COMP,10%/yr programmed in Adopted Plan (scenario=base uses 10.0%). Cumulative 5-yr cost $74.36M. Embedded in fringe benefits -- informational.
Pre-Cancellation Digital Gateway,2027,pension_opeb,retiree_health_credit,3150000.0,embedded,PWC-BUD-FY26-COMP,5%/yr growth FY27-30 (Adopted Plan); scenario=base. Embedded in personnel -- informational.
Pre-Cancellation Digital Gateway,2027,capital_paygo,cip_cash_financed,36974594.0,programmed,PWC-BUD-FY26-SUMM,FY27 County CIP Expenditures per Adopted Five-Year Plan.
Pre-Cancellation Digital Gateway,2027,debt_service,spillover_credit_spread_ds,0.0,programmed,PWC_MOODYS_OPINION_SEPT2025+PWC-BUD-FY26-CIP,"Stage 6b credit-spread overlay; scenario Pre-Cancellation Digital Gateway factor 0.00. 1-notch Moody's action (Aaa->Aa1, +12 bps point, range 5-30) on cumulative new-money GO issuance FY27+. Zero for Pre-Cancellation Digital Gateway; full for CAPEX Spillover; half for Partial Recovery (rating recovery lags policy reversal 12-24+ mo)."
Pre-Cancellation Digital Gateway,2028,schools_transfer,57_23_pct_of_general_revenue,1081494776.2122002,committed,PWC-BUD-FY26-REV,"schools_transfer(split_base=1,889,734,014) = 57.23% applied to scenario Pre-Cancellation Digital Gateway eligible base"
Pre-Cancellation Digital Gateway,2028,public_safety,gf_personnel,341026026.93,committed,PWC-BUD-FY26-EXP+COMP,"FY26 base $315,297,732 grown 4.00%/yr"
Pre-Cancellation Digital Gateway,2028,public_safety,gf_nonpersonnel,112584937.65,committed,PWC-BUD-FY26-EXP+BLS-CPI,"FY26 base $105,099,244 grown 3.50%/yr"
Pre-Cancellation Digital Gateway,2028,public_safety,fire_levy_operating,104998598.64,committed,PWC-BUD-FY26-EXP,"Fire Levy is a special-revenue fund (not GF), but station operations are contractual once approved. Included in committed-expenditure envelope per CBA provisions."
Pre-Cancellation Digital Gateway,2028,general_government,gopi_megr_gf,156513525.71,committed,PWC-BUD-FY26-EXP,"Growth 3.50%/yr over FY26 $146,107,051"
