driver,parameter,scenario,value,unit,source_key,notes
# ============================================================================
# Stage 4 Non-DC Revenue Driver Assumptions
# ----------------------------------------------------------------------------
# Scenarios (directional, not symmetric):
#   base = PWC FY26-FY30 Adopted Estimate of General Revenue trajectory held
#          as-is (i.e. the pre-ruling baseline forecast for non-DC lines).
#   low  = continued federal civilian + contractor contraction (DOGE cuts
#          baseline extended, cumulative -40k VA federal civilian jobs by
#          FY31), NoVA residential nominal -10% over 5 yr (Case-Shiller /
#          FHFA HPI softening track), NoVA office vacancy stays > 20%.
#   high = federal stabilization (hiring freeze lifts, contract backlog
#          catches up), NoVA residential flat-to-+1%/yr, office absorbs
#          modestly. NOT a boom case; a "shocks resolved" case.
# Units: fraction means decimal (e.g. -0.020 = -2.0%); pct_points are in
# decimal (0.010 = +1.0 pp); elasticities dimensionless; USD raw.
# Source keys resolve to citations/stage4.bib (new) and inherited keys from
# stage1/stage2/stage3 bibs; see notes for inherited keys.
# ============================================================================
residential_re,case_shiller_dc_msa_5yr_cagr,low,-0.020,fraction_per_year,CSI_DCXRNSA_2026,"Case-Shiller DC-Washington MSA: peak 344.2 Jun-2022; 339.1 Dec-2025 = -1.5% cumulative. Low case extends softening: -2.0%/yr nominal = -10% cumulative 5yr."
residential_re,case_shiller_dc_msa_5yr_cagr,base,0.000,fraction_per_year,CSI_DCXRNSA_2026,"Base: flat nominal prices (FY26 PWC forecast embeds ~2.5-3% RE revenue growth driven by turnover + reassessment of existing stock, not price appreciation)."
residential_re,case_shiller_dc_msa_5yr_cagr,high,0.015,fraction_per_year,FHFA_HPI_2026Q1,"High case: FHFA HPI NoVA CBSA 2020-2025 5yr CAGR ~6% decelerates to +1.5%/yr on federal stabilization."
residential_re,pwc_assessment_lag_years,base,1.0,years,PWC-RE-2025,"PWC assessment lag: landbook locks Jan-1 of tax year; appears in FY (tax year + 1) revenue. So FY27 revenue reflects TY26 (Jan-2026) assessment = late-2025 market."
residential_re,pwc_turnover_rate,low,0.035,fraction_per_year,PWC-RE-2025,"Low: foreclosure uptick + federal job loss suppresses turnover to 3.5%/yr (vs long-run ~5%)."
residential_re,pwc_turnover_rate,base,0.045,fraction_per_year,PWC-RE-2025,"Base: long-run PWC residential turnover ~4.5%/yr; 2024 assessments report 694 new units finished."
residential_re,pwc_turnover_rate,high,0.055,fraction_per_year,PWC-RE-2025,"High: federal stabilization + pent-up demand pushes turnover to 5.5%/yr."
residential_re,new_construction_units_per_yr,low,400,units_per_year,PWC-RE-2025,"Low: permits collapse 40% from 2024 level (694 units finished) on federal demand weakness; assume 400 units."
residential_re,new_construction_units_per_yr,base,700,units_per_year,PWC-RE-2025,"Base: holds 2024 PWC Community Development pace (~694 finished / ~700 permitted)."
residential_re,new_construction_units_per_yr,high,900,units_per_year,PWC-RE-2025,"High: builder response to stabilization."
residential_re,avg_new_unit_assessed_value,base,570600,USD,PWC-RE-2025,"2025 avg residential assessment $570600 (+7.38% YoY from $531400)."
residential_re,fy26_residential_share_of_re_tax_base,base,0.677,fraction,PWC-ACFR-FY25,"Residential = 67.7% of total taxable AV per FY25 ACFR MD&A."
