project_name,developer,gpins,acreage,planned_mw,planned_sqft,planned_in_service_year,planned_assessed_value_at_stabilization_usd,status,court_case,source_doc,source_page
Digital Gateway North (REZ2022-00032 / Ord. 23-57),"QTS Realty Trust (via GW Acquisition Co.)",not_itemized_in_public_record,534,700,5400000,2027-2031,3900000000,invalidated,"Oak Valley HOA v. PWC BOCS, Va. Ct. App. Rec. No. 1584-25-4 (Mar. 31, 2026); consolidated with Burke v. PWC BOCS, Rec. No. 1590-25-4; Circuit Court ruling by Judge Kimberly A. Irving, Aug. 7, 2025","PWC Planning Office PW Digital Gateway page; DataCenterFrontier 2023-12-13; InsideNoVA 2026-04-08; TY2024 PWC Data Center Revenue Report",PWC_PW_DG_page
Digital Gateway South (REZ2022-00033 / Ord. 23-58),"QTS Realty Trust (via GW Acquisition Co.)",not_itemized_in_public_record,342,500,3500000,2027-2031,2500000000,invalidated,"Oak Valley HOA v. PWC BOCS, Va. Ct. App. Rec. No. 1584-25-4 (Mar. 31, 2026); Circuit Court ruling by Judge Irving, Aug. 7, 2025","PWC Planning Office PW Digital Gateway page; DataCenterFrontier 2023-12-13; InsideNoVA 2026-04-08",PWC_PW_DG_page
Compass PWC Campus 1 (REZ2022-00036 / Ord. 23-59),"Compass Datacenters (via H&H Capital Acquisitions)",not_itemized_in_public_record,884,1700,11550000,2026-2033,8200000000,invalidated,"Oak Valley HOA v. PWC BOCS, Va. Ct. App. Rec. No. 1584-25-4 (Mar. 31, 2026); Circuit Court ruling by Judge Irving, Aug. 7, 2025","DCD 2023-10-30; DataCenterFrontier 2023-12-13; Fauquier Now 2026",PWC_PW_DG_page
PW Digital Gateway residual (remainder of 2139-acre CPA2021-00004 corridor not under the three named rezonings),"N/A (original ~200 Pageland landowners; marketed to QTS/Compass/other hyperscalers)",not_itemized_in_public_record,379,200,2500000,2029-2035,1600000000,contingent,"CPA2021-00004 still in force but rezoning path blocked after Oak Valley ruling; see PWC Planning Office","PWC Planning Office PW Digital Gateway page; ProtectPWC overview",PWC_PW_DG_page
Dulles South Innovation Center (Sanders Lane pre-application),"LSI 360 (Kelly Bleichner / Cooley LLP)",not_filed,1930,~1800_est,~18000000_est,post-2029,unknown,contingent,"No complaint filed; pre-application cultural resource assessment filed 2025-12-17","Virginia Business 2025-12-18; PWC Times 2025-12-17; Coalition to Protect PWC 2025-12-19",
John Marshall Commons Tech Park / CTP-II LLC (Catharpin Rd & John Marshall Hwy),"CTP-II LLC",not_itemized_in_public_record,22.72,80,not_specified,post-2027,unknown,contingent,"Planning Commission 4-4 tie Feb 2026; within overlay fringe; no court challenge","InsideNoVA / DCD 2026-02; PWC Times",
Hornbaker Road data center (Innovation Town Center vicinity),"MJV Parcel A LLC / PWC-Parcel B LLC (Mortenson Development, contract purchaser)",not_itemized_in_public_record,40,not_specified,not_specified,2027-2028,unknown,proceeding,"Approved 4-3 by BOCS on 2026-03-04; OUTSIDE overlay district (rezoning A-1/PBD to M-2 plus SUP)","InsideNoVA 2026-03-04",
Devlin Technology Park,"Stanley Martin Homes (land) / Amazon AWS (operator, purchased 2025-11)",not_itemized_in_public_record,270,est_800_1000,3500000,2027-2030,est_4500000000,proceeding,"Prince William Bristow Residents v. PWC BOCS — Circuit Court dismissed 2024; Va. Ct. App. affirmed 2025-09-16 (unrelated to Oak Valley; rezoning UPHELD)","InsideNoVA 2025-09; Virginia Business 2025-11-04; Northern Virginia Mag 2025-11-04",
Amazon Wellington/Devlin 44-ac acquisition (Innovation Park vicinity),"Amazon Data Services",not_itemized_in_public_record,44,not_specified,not_specified,2026-2028,120000000_landonly,proceeding,"Land purchase closed Feb 2024 at $120M; within overlay","DCD 2024-02; InsideNoVA 2024",
Amazon AWS — Parsons Business Park,"Amazon Data Services",not_itemized_in_public_record,91,~180_est_IT,~1200000_est,2029-2032,unknown,proceeding,"Base rezoning 2019; proffer amendment (height 75->85 ft) approved ~Mar 23 2024 (5-1); INSIDE overlay; AWS land-banked ~91 ac for $218M (Apr 2024); not started as of mid-2026","WTOP 2024-03; Baxtel AWS Parsons; PWC Planning REZ records",
Stack Gainesville — Wellington Rd (SI NVA05A/B),"Stack Infrastructure",not_itemized_in_public_record,40.7,~90_est_IT,815000,2028-2030,unknown,proceeding,"Rezoned ag->PBD Sept 24 2024 (6-1); INSIDE overlay; ~815k sqft, two data centers up to 80 ft; not started; distinct from Stack legacy operating footprint","WTOP 2024-09; PWC Planning REZ records",
Amazon AWS — Wellington Glen,"Amazon Data Services (applicant STC Capital Partners)",not_itemized_in_public_record,49.5,~55_est_IT,475000,2028-2030,unknown,proceeding,"Rezoned Apr 1 2025 (5-3; Planning Commission recommended denial 4-2); INSIDE overlay; 475k sqft (cut from 983k), max 75 ft; not started","InsideNoVA 2025-04; PWC Planning REZ records",
Iron Mountain VA 8/9 (campus extension),"Iron Mountain Data Centers",not_itemized_in_public_record,19,48,300000,2028-2030,unknown,proceeding,"Rezoned office-flex/ag->M-2 Jul 30 2025 (unanimous 7-0); INSIDE overlay; county-cited 48 MW, max 75 ft; extends operating VA-3/VA-4 campus; not started","InsideNoVA 2025-07; PWC Planning REZ records",
