scenario,fiscal_year,revenue_source,amount_usd,in_split_base,notes
Pre-Cancellation Digital Gateway,2027,agency_revenue,247509000.0,False,"FY26 $240,300,000 grown 3.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
Pre-Cancellation Digital Gateway,2027,fire_levy_revenue,99055281.74000001,False,"FY26 $93,448,379 grown 6.0%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
Pre-Cancellation Digital Gateway,2028,agency_revenue,254934270.0,False,"FY26 $240,300,000 grown 3.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
Pre-Cancellation Digital Gateway,2028,fire_levy_revenue,104998598.64440002,False,"FY26 $93,448,379 grown 6.0%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
Pre-Cancellation Digital Gateway,2029,agency_revenue,262582298.1,False,"FY26 $240,300,000 grown 3.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
Pre-Cancellation Digital Gateway,2029,fire_levy_revenue,111298514.56306401,False,"FY26 $93,448,379 grown 6.0%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
Pre-Cancellation Digital Gateway,2030,agency_revenue,270459767.04300004,False,"FY26 $240,300,000 grown 3.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
Pre-Cancellation Digital Gateway,2030,fire_levy_revenue,117976425.43684787,False,"FY26 $93,448,379 grown 6.0%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
Pre-Cancellation Digital Gateway,2031,agency_revenue,278573560.05429,False,"FY26 $240,300,000 grown 3.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
Pre-Cancellation Digital Gateway,2031,fire_levy_revenue,125055010.96305874,False,"FY26 $93,448,379 grown 6.0%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
CAPEX Spillover,2027,agency_revenue,242703000.0,False,"FY26 $240,300,000 grown 1.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
CAPEX Spillover,2027,fire_levy_revenue,96719072.26499999,False,"FY26 $93,448,379 grown 3.5%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
CAPEX Spillover,2028,agency_revenue,245130030.0,False,"FY26 $240,300,000 grown 1.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
CAPEX Spillover,2028,fire_levy_revenue,100104239.79427499,False,"FY26 $93,448,379 grown 3.5%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
CAPEX Spillover,2029,agency_revenue,247581330.30000004,False,"FY26 $240,300,000 grown 1.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
CAPEX Spillover,2029,fire_levy_revenue,103607888.1870746,False,"FY26 $93,448,379 grown 3.5%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
CAPEX Spillover,2030,agency_revenue,250057143.60300002,False,"FY26 $240,300,000 grown 1.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
CAPEX Spillover,2030,fire_levy_revenue,107234164.2736222,False,"FY26 $93,448,379 grown 3.5%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
CAPEX Spillover,2031,agency_revenue,252557715.03903005,False,"FY26 $240,300,000 grown 1.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
CAPEX Spillover,2031,fire_levy_revenue,110987360.02319896,False,"FY26 $93,448,379 grown 3.5%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
Partial Recovery,2027,agency_revenue,245106000.0,False,"FY26 $240,300,000 grown 2.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
Partial Recovery,2027,fire_levy_revenue,98120797.95,False,"FY26 $93,448,379 grown 5.0%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
Partial Recovery,2028,agency_revenue,250008120.0,False,"FY26 $240,300,000 grown 2.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
Partial Recovery,2028,fire_levy_revenue,103026837.8475,False,"FY26 $93,448,379 grown 5.0%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
Partial Recovery,2029,agency_revenue,255008282.40000004,False,"FY26 $240,300,000 grown 2.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
Partial Recovery,2029,fire_levy_revenue,108178179.73987502,False,"FY26 $93,448,379 grown 5.0%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
Partial Recovery,2030,agency_revenue,260108448.048,False,"FY26 $240,300,000 grown 2.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
Partial Recovery,2030,fire_levy_revenue,113587088.72686878,False,"FY26 $93,448,379 grown 5.0%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
Partial Recovery,2031,agency_revenue,265310617.00896,False,"FY26 $240,300,000 grown 2.0%/yr. Agency fees (recordation, clerk, parks/rec, EMS billing, etc.)."
Partial Recovery,2031,fire_levy_revenue,119266443.16321222,False,"FY26 $93,448,379 grown 5.0%/yr. Fire Levy tax; earmarked to Fire Levy operating fund."
Pre-Cancellation Digital Gateway,2027,residential_real_estate,646016936.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,non_dc_commercial_real_estate,168153183.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,personal_property_vehicles,216455102.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,non_dc_business_tangible,21780000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,local_sales_tax,104698297.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,bpol_tax,36501859.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,food_and_beverage_tax,29211495.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,consumer_utility_tax,15577500.0,True,Stage 4 BASE (non-DC)
