parameter_name,point_estimate,low,high,unit,source_key,notes
pwc_dc_revenue_per_mw_turnkey_basis,268000,220000,300000,USD_per_MW_per_year,pwc2024dcreport,"TY2023 DC revenue $166.4M / 622 turnkey MW; upper-bound since numerator includes non-turnkey land value"
pwc_dc_revenue_per_mw_total_capacity_basis,121000,100000,150000,USD_per_MW_per_year,pwc2024dcreport,"$166.4M / 1379 MW (turnkey+powered-shell+under-construction potential); conservative"
pwc_dc_revenue_per_mw_finance_office_estimate,235000,200000,270000,USD_per_MW_per_year,pwt2023dgvote,"PWC Finance's own PW Digital Gateway estimate: $400.5M/yr / 1700 MW; used as mid-point for CAPEX Spillover"
pwc_dc_revenue_per_sqft_turnkey_basis,35,28,45,USD_per_sqft_per_year,pwc2024dcreport,"$166.4M / 4.75M turnkey sqft"
pwc_dc_share_commercial_growth_ty2023,0.74,0.65,0.80,fraction,pwc2024dcreport,"DCs = 74% of 2023 commercial assessment growth"
pwc_dc_share_commercial_growth_cy2024,0.90,0.85,0.95,fraction,vqfuv4_pwcrevenueest,"Per PWC FY26 Revenue Estimate: DCs over 90% of 2024 commercial growth"
pwc_dc_benefit_cost_ratio_2022,13.0,10.0,16.0,ratio,nvtc2024mangum,"Every $1 of county expenditure for DCs returns $13 in revenue (2022)"
loudoun_dc_benefit_cost_ratio_2022,26.0,22.0,30.0,ratio,nvtc2024mangum,"Comparator for PWC; Loudoun 26:1"
pwc_residential_tax_hike_absent_dc_2018,0.07,0.05,0.10,fraction,mangum2020,"Mangum 2020: absent DC revenue PWC residential taxes would have had to rise 7%"
va_statewide_dc_tax_revenue_2022,2600000000,2300000000,2900000000,USD_per_year,nvtc2024mangum,"$640M state + ~$1B local direct + indirect"
jlarc_pwc_dc_share_of_local_revenue,0.07,0.06,0.08,fraction,jlarc2024dc,"PWC $110M = 7% of total local revenue (2024 JLARC)"
jlarc_loudoun_dc_share_of_local_revenue,0.31,0.28,0.34,fraction,jlarc2024dc,"Loudoun $733M = 31% of total local revenue (2024 JLARC)"
pageland_capex_at_buildout,24700000000,20000000000,28000000000,USD,pwt2023dgvote,"PWC Finance estimate: $24.7B capital investment"
pageland_annual_tax_revenue_buildout,400500000,360000000,440000000,USD_per_year,pwt2023dgvote,"PWC Finance estimate: $400.5M/year at full Pageland buildout"
pageland_mw_at_buildout,1700,1500,3000,MW,potomaclocal2023dgapproved,"PW Digital Gateway planned capacity; developers suggest 2-3 GW"
pageland_sqft_at_buildout,22000000,20000000,25000000,sqft,potomaclocal2023dgapproved,"22M sqft across 37 buildings"
pageland_acres,2139,2100,2200,acres,potomaclocal2023dgapproved,"Rezoned acreage now invalidated"
new_capex_reduction_pct_year1,0.35,0.20,0.55,fraction,synth_stage3,"Judgment informed by Loudoun / Warrenton analogs; CAPEX Spillover year-1 new-CAPEX deterrent"
new_capex_reduction_pct_year2,0.25,0.15,0.40,fraction,synth_stage3,"Partial normalization as risk premium settles"
new_capex_reduction_pct_year3,0.18,0.10,0.30,fraction,synth_stage3,"Further normalization"
new_capex_reduction_pct_year4,0.12,0.05,0.25,fraction,synth_stage3,"Structural risk-premium residual"
new_capex_reduction_pct_year5,0.10,0.05,0.20,fraction,synth_stage3,"Steady-state residual deterrent"
blocked_to_delayed_ratio_national,0.28,0.22,0.35,fraction,dcwatch2025,"Share of opposition-affected CAPEX that is blocked outright (vs. delayed); $18B/$64B = 28%"
national_opposition_capex_dec2025,154000000000,150000000000,158000000000,USD,dcwatch2025,"Blocked+delayed national total by Dec 2025; Data Center Watch (advocacy-adjacent)"
jurisdiction_capex_elasticity_to_tax_rate,-0.45,-0.60,-0.30,elasticity,bartik2005,"Manufacturing FDI location-specific tax elasticity; bounds regulatory-risk-as-tax analog"
impairment_trigger_threshold,0.30,0.20,0.50,fraction_of_highest_best_use_value,ey2025impairment,"ASC 360 Step-1 recoverability test fails when new highest-best-use cash flows fall ~30%+ below carrying"
impairment_disclosure_probability_24mo,0.40,0.25,0.60,fraction,synth_stage3,"Probability of public 10-K disclosure of a Northern Virginia land-bank impairment within 24 months"
assessed_value_haircut_contingent_overlay,0.25,0.10,0.45,fraction,synth_stage3,"Expected real-estate assessed-value haircut on currently vacant DC-zoned overlay parcels"
construction_pipeline_slip_months,9,3,18,months,synth_stage3,"Months added to powered-shell -> turnkey transition for overlay projects not yet under construction"
pwc_vacant_dc_zoned_land_2023,1312129300,1250000000,1400000000,USD,pwc2024dcreport,"Total assessed value of vacant data-center-zoned parcels TY2023"
pwc_vacant_dc_zoned_acres_2023,1502,1480,1530,acres,pwc2024dcreport,"Data-center zoned land acreage TY2023"
pwc_land_price_per_acre_2023,3091200,2600000,3200000,USD_per_acre,pwc2024dcreport,"Peak DC land sale TY2023 ($3.09M/acre); floor $2.62M/acre in TY2022"
pwc_computer_equipment_tax_rate_2023,0.0215,0.0215,0.0415,fraction_of_assessed_value,pwc2024dcreport,"$2.15/$100 in TY2023; increased to $4.15/$100 for DC computer equipment under FY26 budget (adopted)"
pwc_real_estate_tax_rate_fy26,0.00906,0.00900,0.00950,fraction_of_assessed_value,vqfuv4_pwcrevenueest,"$0.906/$100 for FY26; will drive real-property revenue from DC parcels"
partial_recovery_year2_deterrent,0.12,0.06,0.20,fraction,synth_stage3,"Partial Recovery assumes clarifying resolution by Year-2; deterrent halves"
partial_recovery_return_discount,0.15,0.10,0.25,fraction,synth_stage3,"Confidence discount on CAPEX that returns under Partial Recovery"
