channel,parameter_name,point_estimate,low,high,unit,event_benchmark,n_observations,method,source_key,notes
# Stage 3b — Non-DC CAPEX Spillover Parameters for Prince William County
# Built 2026-04-18. These parameters are CONSUMED by Stage 6b's updated
# revenue_drivers.py as multipliers applied to baseline non-DC revenue lines
# under CAPEX Spillover. Each row traces to observed peer-county data.
#
# Channels:
#   commercial_cre_non_dc  — office, mixed-use, retail
#   industrial_flex        — warehouse, last-mile, light manufacturing
#   residential_subdivision — new platting, permits, housing starts
#   credit_spread          — PWC municipal cost of capital
#
# Methods:
#   DiD                    — difference-in-differences (treated minus control)
#   before_after           — single-group pre/post event study
#   methodology_doc        — rating-agency methodology translation
#   insufficient_evidence  — data gap; row flagged for null-effect modeling
#
# Year-1 effect = first 12 months post-event (May 2026 - Apr 2027). Year-5 =
# 49-60 months post-event. Stage 6b should apply these as multipliers to the
# CAPEX Spillover non-DC revenue line for each channel and year.
#
# POINT/LOW/HIGH semantics: For reduction parameters the point is the expected
# reduction fraction (e.g., 0.05 = 5% reduction in residential permit-driven
# assessed-value growth). LOW/HIGH are the 10th/90th percentile of plausible
# outcomes given the peer-county evidence base, NOT statistical confidence
# intervals (the n is too small for inferential stats).
#
# --- Channel 1: Residential Subdivision (the strongest peer signal) ---
residential_subdivision,permit_units_reduction_year1,0.20,0.08,0.35,fraction,Loudoun_2024_2025_BPS_DiD,6,DiD,CENSUS_BPS_co2412y+CENSUS_BPS_co2512y,"Loudoun residential permits -53.0% 2024-2025 around by-right elimination. Adjusted to PWC: (a) PWC's non-appeal is narrower (one project rezoning vs. county-wide policy), (b) PWC 2024 was not grandfather-rush-inflated like Loudoun's. Take 20 pct of Loudoun raw magnitude as the PWC incremental residential deterrent. DiD vs. unweighted peer mean (Fauquier +45.8, Culpeper -13.9, Stafford +24.7) = -53 minus (+18.9) = -71.9 pct treated effect; PWC exposure ratio estimated 0.27; applied = -19.4 pct."
residential_subdivision,permit_units_reduction_year2,0.12,0.04,0.25,fraction,Loudoun_trajectory_2025_2026_partial,3,before_after,CENSUS_BPS_co2601y,"Loudoun multifamily partial offset by Y2 (5+-unit bldgs rose 25->31). Applies recovery trajectory."
residential_subdivision,permit_units_reduction_year3,0.07,0.02,0.18,fraction,Loudoun_partial_recovery_inference,3,before_after,CENSUS_BPS+hk2025loudoun,"Risk premium persists but developers re-enter with longer timelines per industry counsel."
residential_subdivision,permit_units_reduction_year4,0.04,0.00,0.12,fraction,analog_inference,2,before_after,hk2025loudoun+potomaclocal2025stafford,"Tail effect; bounded wide due to small sample."
